instance,number_of_cities,number_of_runs,initial_temperature,minimum_temperature,cooling_rate,max_iterations,run,operator,route_seed,sa_seed,initial_cost,best_cost,improvement_percentage,execution_time,best_route
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,3,create_two_opt_neighbor,ROUTE-03,SA-03,13941.062500324128,4892.286192272727,64.90736490020771,0.02112830000987742,"[0, 23, 18, 11, 7, 17, 1, 12, 8, 3, 19, 16, 21, 22, 14, 4, 2, 20, 15, 5, 6, 9, 13, 10, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,4,create_two_opt_neighbor,ROUTE-04,SA-04,17123.456300488113,4799.222373253414,71.97281735045155,0.02202130001387559,"[0, 24, 13, 9, 6, 5, 15, 20, 2, 4, 14, 22, 21, 19, 3, 12, 8, 1, 17, 11, 18, 23, 7, 16, 10]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,5,create_two_opt_neighbor,ROUTE-05,SA-05,14304.222063416333,5374.764376511309,62.42532902046103,0.01794940000399947,"[0, 23, 18, 11, 17, 1, 3, 12, 8, 14, 4, 22, 21, 20, 2, 15, 5, 6, 9, 13, 24, 10, 16, 19, 7]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,6,create_two_opt_neighbor,ROUTE-06,SA-06,13370.923812618563,5326.691738722694,60.16212631698846,0.018004799989284948,"[0, 23, 11, 18, 1, 17, 19, 3, 8, 12, 21, 16, 7, 10, 20, 22, 14, 4, 2, 15, 5, 6, 9, 13, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,7,create_two_opt_neighbor,ROUTE-07,SA-07,11678.256544545548,4861.665047001415,58.36994136533071,0.0188860000052955,"[0, 24, 13, 9, 6, 5, 15, 20, 2, 4, 14, 22, 21, 16, 19, 3, 12, 8, 1, 17, 11, 18, 23, 7, 10]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,8,create_two_opt_neighbor,ROUTE-08,SA-08,16001.49995317268,4633.541420357001,71.04308074920007,0.01901559998805169,"[0, 23, 18, 11, 17, 1, 8, 12, 3, 19, 7, 16, 21, 22, 14, 4, 2, 20, 15, 5, 6, 9, 13, 10, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,9,create_two_opt_neighbor,ROUTE-09,SA-09,13508.691827789806,4883.9335973211855,63.845991458076966,0.021109399996930733,"[0, 13, 9, 6, 5, 15, 20, 2, 4, 14, 22, 21, 19, 3, 12, 8, 1, 17, 11, 18, 23, 7, 16, 10, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,10,create_two_opt_neighbor,ROUTE-10,SA-10,12710.0957911338,4799.222373253414,62.240863860355674,0.02907630000845529,"[0, 24, 13, 9, 6, 5, 15, 20, 2, 4, 14, 22, 21, 19, 3, 12, 8, 1, 17, 11, 18, 23, 7, 16, 10]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,11,create_two_opt_neighbor,ROUTE-11,SA-11,13158.226307881225,4799.222373253413,63.52682906526026,0.023234799999045208,"[0, 10, 16, 7, 23, 18, 11, 17, 1, 8, 12, 3, 19, 21, 22, 14, 4, 2, 20, 15, 5, 6, 9, 13, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,12,create_two_opt_neighbor,ROUTE-12,SA-12,15132.562121689585,4962.1848105993795,67.20856144058347,0.02385320000757929,"[0, 23, 11, 18, 1, 17, 7, 19, 3, 12, 8, 14, 4, 22, 21, 16, 10, 20, 2, 15, 5, 6, 9, 13, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,13,create_two_opt_neighbor,ROUTE-13,SA-13,14057.996214985871,4904.651230289564,65.11130636767999,0.019104600010905415,"[0, 24, 13, 9, 6, 5, 15, 20, 2, 4, 14, 22, 21, 12, 8, 3, 19, 17, 1, 18, 11, 23, 7, 16, 10]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,14,create_two_opt_neighbor,ROUTE-14,SA-14,15141.72096612274,5224.583035511945,65.49544766277795,0.024606500010122545,"[0, 23, 18, 11, 7, 16, 19, 3, 17, 1, 8, 12, 21, 22, 14, 4, 2, 15, 5, 6, 9, 20, 10, 13, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,15,create_two_opt_neighbor,ROUTE-15,SA-15,15170.330946441485,5232.390672622456,65.5090538822436,0.021119099998031743,"[0, 24, 13, 6, 9, 10, 16, 21, 20, 5, 15, 2, 4, 14, 22, 12, 8, 3, 19, 7, 17, 1, 18, 11, 23]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,16,create_two_opt_neighbor,ROUTE-16,SA-16,13599.889610562397,4633.541420357001,65.92956595207696,0.0304108999989694,"[0, 23, 18, 11, 17, 1, 8, 12, 3, 19, 7, 16, 21, 22, 14, 4, 2, 20, 15, 5, 6, 9, 13, 10, 24]"
tsp_sample.csv,25,30,1000.0,0.001,0.995,10000,17,create_two_opt_neighbor,ROUTE-17,SA-17,12282.191259298223,4933.384777786298,59.833024306216664,0.020291699998779222,"[0, 24, 13, 9, 6, 5, 15, 2, 20, 21, 22, 4, 14, 8, 12, 3, 19, 17, 1, 18, 11, 23, 7, 16, 10]"
